date,num_employees,country,industry_code,amount_A,amount_B,amount_C,A_score,B_score,C_score,bankrupt
2019-01-02,793,NL,15,33111.66,24801.16,16569.77,3,3,3,False
2019-01-02,34391,CN,84,360.34,1437.21,2158.86,3,3,3,True
2019-01-02,331,US,64,4172.73,16685.13,25067.5,3,3,3,False
2019-01-02,994,NL,59,12192.72,9152.04,6101.85,3,3,3,False
2019-01-02,14,US,60,4258.17,2128.1,1064.12,3,3,3,False
2019-01-02,22751,NL,10,2142.7,1610.21,1070.18,3,3,3,True
2019-01-02,168,CN,74,2321.71,1742.15,1160.07,3,3,3,False
2019-01-02,5600,EN,65,952.09,950.38,950.67,4,4,4,False
2019-01-02,183,NL,31,465.69,1865.75,2801.38,4,4,4,False
2019-01-02,11,TR,18,10499.05,10493.07,10492.35,3,3,3,False
2019-01-02,132,CN,55,2466.53,1846.18,1232.0,5,5,5,False
2019-01-02,15,CN,4,194.62,777.41,1168.71,1,1,1,True
2019-01-02,129,US,2,372.6,1488.5,2232.68,3,3,3,False
2019-01-02,57,TR,27,550.44,1101.22,2202.07,2,1,1,False
2019-01-02,21,US,89,44237.15,33180.15,22121.96,4,4,4,False
2019-01-02,14,CN,86,9304.1,6979.72,4644.53,4,4,4,False
2019-01-02,6275,NL,93,7201.54,14410.29,21632.64,3,3,3,False
2019-01-02,8599,TR,71,2928.89,2196.98,1465.09,2,2,2,True
2019-01-02,34,CN,99,7842.43,31372.17,47170.63,4,4,4,False
2019-01-02,390,TR,28,1590.23,1191.72,794.08,3,3,3,False
2019-01-02,272,NL,76,729.66,1457.27,2188.53,4,4,4,False
2019-01-02,81,EN,58,507.81,1017.26,1522.53,2,2,2,False
2019-01-02,37,US,24,3415.66,13638.31,20517.78,2,2,2,False
2019-01-02,19,US,21,681.23,1360.97,2043.67,5,5,5,False
2019-01-03,35418,CN,96,29161.51,21916.09,14590.18,3,3,3,True
2019-01-03,22030,CN,70,2582.94,2583.76,2583.82,3,3,3,True
2019-01-03,159,NL,22,1825.1,1826.31,1828.27,3,3,3,False
2019-01-03,5745,CN,69,570.71,2290.3,3428.82,4,4,4,False
2019-01-03,405,CN,78,13580.83,6789.25,3404.36,3,3,3,False
2019-01-03,12,CN,78,302.75,606.51,907.03,3,3,3,False
2019-01-03,19325,TR,39,241.22,964.97,1448.04,2,2,2,True
2019-01-03,23,TR,97,181.86,727.75,1092.93,3,3,3,False
2019-01-03,4836,EN,13,5051.41,2518.41,1260.56,5,5,5,False
2019-01-03,570,TR,28,1337.14,1003.56,667.65,5,5,5,False
2019-01-03,3979,US,15,4420.26,3317.35,2211.9,5,5,5,False
2019-01-03,295,EN,92,1673.88,3345.16,5019.72,3,3,3,False
2019-01-03,4595,CN,86,569.65,1138.43,2277.61,4,4,4,False
2019-01-03,11,US,9,1129.42,563.78,282.04,3,3,3,False
2019-01-03,11,EN,46,2646.89,1984.21,1324.34,3,3,3,False
2019-01-03,46924,EN,3,5434.33,2716.12,1356.42,4,4,4,False
2019-01-03,8083,US,11,246.15,985.32,1478.36,4,4,4,False
2019-01-03,20787,EN,41,13977.14,13987.18,13960.04,1,1,1,False
2019-01-03,249,US,97,5209.88,10452.09,15642.84,5,5,5,False
2019-01-03,258,EN,3,206.58,827.75,1239.83,4,4,4,False
2019-01-03,616,EN,83,839.38,1678.09,2514.45,4,4,4,False
2019-01-03,28,EN,91,1350.52,674.82,337.0,4,4,4,False
2019-01-03,6657,US,91,3030.34,12098.97,18191.64,3,3,3,False
2019-01-03,21034,EN,5,1174.9,2344.63,4707.66,4,4,4,False
2019-01-03,53470,TR,13,51337.02,38462.26,25644.89,3,3,3,True
2019-01-03,504,TR,34,1001.86,2005.61,4014.03,4,3,3,False
2019-01-03,154,TR,46,1633.65,3260.76,4887.58,2,2,2,False
2019-01-03,21411,TR,57,882.34,1759.59,2649.73,4,4,4,True
2019-01-03,8376,TR,64,13083.45,13069.31,13067.96,4,4,4,False
2019-01-03,33109,CN,18,684.98,1367.21,2052.89,5,5,5,False
2019-01-03,2624,EN,56,112.16,447.71,672.41,2,2,2,False
2019-01-03,40135,NL,64,908.6,3637.57,5457.01,2,2,2,False
2019-01-03,12,CN,12,382.79,1531.57,2301.29,,3,3,False
2019-01-03,3489,US,7,585.13,584.89,585.59,4,4,4,False
2019-01-03,12,CN,17,2776.03,2080.63,1391.05,4,4,4,False
2019-01-03,8007,NL,34,7275.66,14570.82,29107.89,3,3,3,False
2019-01-03,1894,CN,86,3573.19,7142.1,14254.29,4,4,4,False
2019-01-03,11,EN,25,145.65,582.9,871.41,1,1,1,True
2019-01-03,1337,TR,37,734.68,1467.08,2932.82,3,3,3,False
2019-01-03,15,EN,83,703.05,704.09,703.78,1,1,1,False
2019-01-03,15,CN,65,201.77,805.7,1208.92,1,1,1,True
2019-01-03,16,NL,25,2204.66,4402.87,6594.03,4,4,4,False
2019-01-03,342,US,56,114.09,455.74,683.01,3,3,3,False
2019-01-03,13,EN,99,2437.84,4871.03,7327.49,1,1,1,False
2019-01-03,14,NL,24,382.82,766.06,1147.99,3,3,3,False
2019-01-03,31,US,29,53326.98,26624.67,13348.24,1,1,1,False
2019-01-03,11,TR,81,875.83,658.19,436.37,3,3,3,False
2019-01-03,37,EN,6,1085.25,540.51,270.28,2,2,2,False
2019-01-03,1680,EN,26,1211.36,2425.58,4832.13,2,2,2,False
2019-01-03,1374,TR,10,1408.54,703.7,352.66,2,2,2,True
2019-01-03,112926,TR,7,3138.83,2364.77,1573.43,3,3,3,False
2019-01-03,14,CN,10,948.37,3794.1,5681.35,2,2,2,False
2019-01-03,32440,US,87,4532.24,4532.48,4525.17,3,3,3,False
2019-01-03,119,NL,29,8893.44,4451.88,2218.9,3,3,3,False
2019-01-03,114,TR,93,2598.97,1947.92,1299.63,4,4,4,False
2019-01-03,75,CN,14,4639.02,9254.9,13890.63,4,4,4,False
2019-01-03,14,US,55,687.55,2754.06,4131.59,4,4,4,False
2019-01-03,321,US,34,39037.65,19473.09,9739.19,3,3,3,False
2019-01-03,12699,EN,38,1370.86,686.26,343.77,2,2,2,False
2019-01-03,36514,CN,23,1797.14,1347.75,898.64,3,3,3,False
2019-01-03,104235,CN,7,235.68,470.89,705.56,3,3,3,False
2019-01-03,12385,EN,42,289.08,1156.41,1733.47,3,3,3,False
2019-01-03,1777,NL,41,21493.81,21546.96,21567.8,3,3,3,False
2019-01-03,401,TR,83,38468.17,28956.64,19307.54,3,3,3,False
2019-01-03,36280,EN,40,25656.57,19235.56,12866.24,5,5,5,False
2019-01-03,7154,TR,46,567.25,1135.22,2263.12,5,5,5,False
2019-01-03,16,CN,25,1991.94,7963.95,11960.44,4,4,4,False
2019-01-03,3616,EN,51,33302.44,24975.15,16672.68,1,1,1,False
2019-01-03,186,NL,87,71092.84,35532.82,17769.23,5,5,5,False
2019-01-03,1283,TR,21,269.11,1076.68,1616.37,4,4,4,False
2019-01-03,48071,TR,4,4474.76,8943.32,13388.21,3,3,3,True
2019-01-03,2527,TR,14,1112.23,837.07,557.37,1,1,1,True
2019-01-03,78027,CN,35,201.41,402.92,602.78,3,3,3,False
2019-01-03,32752,TR,62,5570.83,22300.4,33369.66,3,3,3,False
2019-01-03,14,US,92,3003.09,6006.63,8996.25,2,2,2,False
2019-01-03,11,TR,78,52235.59,39119.08,26012.84,1,1,1,False
2019-01-03,110,CN,90,2177.03,4337.03,8676.3,3,3,3,False
2019-01-03,32346,EN,48,1707.78,1706.38,1706.53,3,3,3,True
2019-01-03,25,TR,54,14068.51,10559.34,7032.1,1,1,1,False
2019-01-03,4021,TR,71,5311.16,10637.45,15915.93,3,3,3,False
2019-01-03,312,EN,59,148.47,297.88,594.64,2,2,2,False
2019-01-03,7740,US,56,3530.74,14122.06,21218.54,3,3,3,False
2019-01-03,17,CN,28,2682.48,2684.81,2683.38,2,2,2,False
2019-01-03,27,EN,18,1903.73,1432.38,953.39,5,5,5,False
2019-01-03,28,CN,94,1268.96,2550.31,3809.16,1,1,1,False
2019-01-03,731,EN,72,822.62,617.08,411.58,3,3,3,False
2019-01-03,42,NL,9,279.93,558.74,1115.99,2,2,2,False
2019-01-03,17004,US,9,4509.64,4499.59,4502.83,3,3,3,False
2019-01-03,74,NL,96,1241.95,932.95,622.34,2,2,2,True
2019-01-03,2790,EN,88,19936.39,19938.38,19943.09,5,5,5,False
2019-01-03,87740,EN,56,13980.01,27927.43,41887.15,1,1,1,False
2019-01-03,1465,CN,53,171.66,682.67,1027.89,3,3,3,False
2019-01-03,28,EN,55,14661.98,10973.72,7326.17,3,3,3,False
2019-01-03,21289,CN,67,11327.74,11316.98,11292.74,4,4,4,False
2019-01-03,11,CN,68,816.38,1629.12,2453.85,2,3,3,False
2019-01-03,31,EN,86,16780.04,12560.35,8389.62,2,2,2,False
2019-01-03,114,CN,54,12718.84,25429.74,38303.17,3,3,3,False
2019-01-03,20,US,68,4514.92,9051.42,13545.15,5,5,5,False
2019-01-03,1415,NL,71,23794.93,17898.31,11894.9,4,4,4,False
2019-01-03,819,EN,80,1187.05,4748.22,7122.9,3,3,3,False
2019-01-03,141,CN,0,32292.35,24229.03,16115.78,2,3,3,False
2019-01-03,44,CN,11,9418.77,18867.62,28219.65,2,2,2,False
2019-01-03,192,CN,34,246.87,993.97,1490.68,3,3,3,False
2019-01-03,42,CN,77,764.47,765.18,767.76,2,2,2,False
2019-01-03,24,US,81,2108.54,2112.77,2118.48,2,2,2,False
2019-01-03,77,EN,73,396.14,791.53,1584.77,3,3,3,False
2019-01-03,1387,EN,78,6524.3,3271.82,1633.88,1,1,1,False
2019-01-03,2403,US,32,983.87,1971.89,2957.18,2,2,2,False
2019-01-03,45,US,82,190.56,763.28,1144.56,2,2,2,False
2019-01-03,86585,US,97,6018.85,4512.65,3000.53,5,5,5,True
2019-01-03,33,EN,24,2680.5,2016.89,1344.48,4,4,4,False
2019-01-03,5153,TR,15,43562.73,21667.27,10874.44,3,3,3,False
2019-01-03,12,NL,7,31668.51,23742.24,15831.19,2,2,2,False
2019-01-03,2926,US,34,671.19,2687.49,4041.14,3,3,3,False
2019-01-03,259,US,84,794.52,792.67,794.97,3,3,3,False
2019-01-03,934,EN,82,6074.13,12155.55,18256.72,1,1,1,False
2019-01-03,19,EN,45,1647.24,824.97,413.17,5,5,5,False
2019-01-03,191,NL,10,3012.43,2261.05,1506.96,3,3,3,False
2019-01-03,9861,CN,60,3134.27,1566.34,780.99,5,5,5,True
2019-01-03,9956,EN,43,5988.82,4484.4,2990.65,3,3,3,False
2019-01-03,27,NL,10,27600.3,20752.56,13846.35,3,3,3,False
2019-01-03,78,EN,10,1301.08,651.85,326.31,3,3,3,False
2019-01-03,11,EN,21,995.72,994.29,995.56,1,1,1,False
2019-01-03,12,EN,84,303.72,1221.96,1823.06,4,4,4,False
2019-01-03,14,TR,90,37201.78,37248.68,37067.28,3,3,3,False
2019-01-03,43,TR,81,1466.38,1461.13,1461.67,3,3,3,False
2019-01-03,9038,US,61,59655.97,29865.95,14943.4,3,3,3,False
2019-01-03,466,TR,47,1596.35,799.48,399.51,3,3,3,False
2019-01-04,13521,NL,93,2129.18,1062.2,531.53,4,4,4,True
2019-01-04,8604,EN,62,241.19,480.91,963.14,4,4,4,False
2019-01-04,1157,TR,50,2092.83,1043.41,521.83,4,4,4,False
2019-01-04,412,EN,44,3549.81,2662.21,1771.54,4,5,5,False
2019-01-04,71395,CN,32,1844.72,1382.22,920.84,3,3,3,True
2019-01-04,936,US,84,1314.13,5248.89,7892.32,3,3,3,False
2019-01-04,338,TR,59,274.92,1099.47,1654.46,3,3,3,False
2019-01-04,33851,EN,1,9340.71,6972.56,4661.3,2,2,2,False
2019-01-04,12,CN,12,996.9,749.03,499.72,4,4,4,False
2019-01-04,2633,US,65,764.41,765.01,763.84,3,3,3,True
2019-01-04,13,US,56,811.59,3254.9,4872.91,2,2,2,False
2019-01-04,18739,CN,42,6399.64,3204.86,1605.03,4,4,4,True
2019-01-04,13530,TR,44,8433.06,16829.79,33725.25,3,3,3,False
2019-01-04,431,TR,30,61746.49,30898.73,15462.75,1,1,1,False
2019-01-04,2796,EN,9,2244.72,1681.51,1121.08,2,2,2,False
2019-01-04,10640,NL,22,6479.17,12995.23,19338.01,4,4,4,False
2019-01-04,340,EN,85,833.22,624.1,415.27,2,3,3,False
2019-01-04,52663,EN,28,15590.87,15628.37,15584.14,5,5,5,False
2019-01-04,199,EN,96,4412.56,3321.02,2217.71,3,3,3,False
2019-01-04,44555,CN,30,2010.17,8041.15,12020.26,2,2,2,False
2019-01-04,1098,US,77,931.73,1857.84,3718.8,3,3,3,False
2019-01-04,176,US,73,4869.72,9740.28,19387.71,2,2,2,False
2019-01-04,11,NL,17,957.04,1904.5,3797.27,4,4,4,False
2019-01-04,44,TR,10,520.51,1037.93,1559.7,3,3,3,False
2019-01-04,33368,EN,46,42808.41,32039.24,21335.9,5,5,5,False
2019-01-04,181,CN,2,1678.02,838.63,419.36,3,3,3,False
2019-01-04,167,CN,1,1214.43,2427.45,3647.29,1,1,1,False
2019-01-04,365,EN,53,1148.16,863.64,573.64,3,3,3,False
2019-01-04,41,CN,71,176.47,354.19,706.1,3,3,3,False
2019-01-04,374,CN,30,933.4,701.67,468.25,5,5,5,False
2019-01-04,100,EN,7,509.1,1015.34,1529.77,3,3,3,False
2019-01-04,54912,NL,42,2582.0,10367.27,15491.76,3,3,3,False
2019-01-04,879,CN,47,1919.25,7649.95,11510.03,2,2,2,False
2019-01-04,22253,US,1,33104.2,16472.95,8252.86,2,2,2,False
2019-01-04,3808,US,21,301.85,1208.56,1811.44,3,3,3,False
2019-01-04,22,US,4,1218.53,2433.68,3643.78,3,3,3,False
2019-01-04,33265,EN,6,1352.26,5404.01,8112.56,3,3,3,False
2019-01-04,12,US,19,3455.48,1731.31,861.89,3,3,3,False
2019-01-04,227,TR,91,636.22,1276.15,1913.85,2,2,2,False
2019-01-04,27,CN,76,219.05,874.58,1311.4,3,3,3,False
2019-01-04,643,NL,1,967.66,1938.76,3869.92,1,1,1,False
2019-01-04,46,US,31,25412.94,25232.69,25301.11,4,3,3,False
2019-01-04,5858,EN,89,1002.25,753.68,502.16,1,1,1,True
2019-01-04,76355,NL,2,12917.79,25844.5,38799.21,3,3,3,False
2019-01-04,4969,EN,40,47636.63,23855.5,11895.26,1,1,1,False
2019-01-04,81,NL,41,449.66,1798.93,2712.65,5,5,5,False
2019-01-04,1350,NL,76,873.99,653.96,433.71,3,3,3,True
2019-01-04,42725,CN,84,1137.18,570.29,285.23,3,3,3,True
2019-01-04,35,NL,44,29628.6,29806.37,29615.88,4,4,4,False
2019-01-04,14,TR,86,1451.0,2904.23,5797.56,2,2,2,False
2019-01-04,14,TR,70,8280.99,8249.38,8283.05,3,3,3,False
2019-01-04,389,TR,16,384.47,770.06,1539.48,4,4,4,False
2019-01-04,6549,EN,91,4824.87,9698.55,19360.93,3,3,3,False
2019-01-04,2672,CN,46,1430.43,1066.29,712.58,3,3,3,False
2019-01-04,241,EN,93,2269.02,4551.77,9119.24,3,3,3,False
2019-01-04,6330,US,68,199.34,399.09,800.5,3,3,3,False
2019-01-04,2023,TR,23,62572.59,31139.67,15545.34,3,3,3,False
2019-01-04,1889,CN,70,4650.19,18637.23,27810.8,1,1,1,False
2019-01-04,21,TR,33,41549.89,20765.31,10376.4,3,3,3,False
2019-01-04,52,CN,49,36736.89,36666.47,36636.6,3,3,3,False
2019-01-04,72,EN,41,1682.08,1265.44,840.95,4,4,4,False
2019-01-04,16299,EN,32,9855.02,19637.09,29482.33,3,3,3,False
2019-01-04,10962,TR,26,17610.93,8744.85,4399.04,5,5,5,True
2019-01-04,30,NL,77,31601.96,15841.99,7907.74,3,3,3,False
2019-01-04,11,CN,58,862.23,1725.04,2584.51,3,3,3,False
2019-01-04,10040,US,18,2635.98,10516.94,15808.5,1,1,1,False
2019-01-04,146,NL,75,2420.14,4825.04,9721.69,2,2,2,False
2019-01-04,23,EN,2,2776.92,5556.51,11116.48,4,4,4,False
2019-01-04,14,CN,70,1612.53,1612.05,1611.71,3,3,3,False
2019-01-04,11,NL,98,261.81,1043.02,1569.22,5,5,5,False
2019-01-04,179,US,24,8350.42,16723.53,25062.21,4,4,4,False
2019-01-04,68,NL,14,3496.23,2619.02,1746.1,3,3,3,False
2019-01-04,4272,US,82,30626.27,15289.97,7630.91,4,4,4,False
2019-01-04,123015,EN,59,2225.53,4455.82,8881.27,3,3,3,False
2019-01-04,21,CN,82,875.42,869.48,876.34,3,3,3,False
2019-01-05,28,EN,22,336.54,673.61,1011.34,1,1,1,False
2019-01-05,67,CN,10,2487.09,9914.39,14924.75,4,4,4,False
2019-01-05,278,NL,58,9420.1,18867.62,37691.3,3,3,3,False
2019-01-05,4335,EN,84,55117.34,27687.99,13827.22,3,3,3,False
2019-01-05,78,CN,33,370.72,741.17,1115.11,2,2,2,False
2019-01-05,13,US,6,2122.18,1586.34,1058.84,4,4,4,False
2019-01-05,6410,CN,43,6103.43,12133.52,24223.64,4,4,4,False
2019-01-05,13855,EN,90,4709.37,18895.87,28287.32,3,3,3,False
2019-01-05,29,EN,63,164.42,658.48,988.67,3,3,3,False
2019-01-05,15,NL,22,1541.27,768.72,383.75,3,3,3,False
2019-01-05,573,US,57,1929.86,1441.91,963.0,3,3,3,True
2019-01-05,22,CN,19,19909.69,14889.15,9940.53,4,4,4,False
2019-01-05,99,EN,26,5536.42,11079.73,16628.13,5,5,5,False
2019-01-05,11262,CN,59,964.19,1922.21,2899.75,3,3,3,False
2019-01-05,23,TR,7,12613.19,9471.36,6315.05,3,3,3,False
2019-01-05,15926,US,66,189.51,757.96,1138.15,3,3,3,True
2019-01-05,3265,US,1,678.81,677.87,676.59,4,4,4,False
2019-01-05,23,TR,21,34460.82,25815.67,17219.41,4,4,4,False
2019-01-05,563,US,69,18392.66,9212.16,4602.42,1,1,1,False
2019-01-05,1595,TR,35,3229.92,6438.79,9673.19,1,1,1,False
2019-01-05,21,CN,23,1062.93,796.73,532.29,3,3,3,False
2019-01-05,15,TR,11,26863.48,13413.11,6717.95,2,2,2,False
2019-01-05,596,NL,80,3521.09,1755.11,877.75,1,1,1,True
2019-01-05,4140,TR,21,35898.95,26920.47,17898.91,3,3,3,False
2019-01-05,275,CN,82,609.67,1217.99,2430.91,4,4,4,False
2019-01-05,12,US,72,195.06,782.45,1176.05,3,3,3,False
2019-01-05,66350,NL,75,3161.7,1585.35,789.03,3,3,3,True
2019-01-05,4196,TR,95,123.58,494.24,736.79,5,5,5,True
2019-01-05,1737,CN,94,31581.23,15842.1,7927.82,2,2,2,False
2019-01-05,2270,NL,80,929.56,3719.86,5590.2,3,3,3,True
2019-01-05,129,NL,22,2627.14,5252.83,7885.84,5,5,5,False
2019-01-05,134979,NL,73,257.74,516.32,770.21,2,2,2,True
2019-01-05,14,TR,62,679.54,2706.36,4068.52,5,5,5,False
2019-01-05,7123,CN,29,1561.74,6215.86,9322.4,3,3,3,False
2019-01-05,166,CN,18,5807.14,4361.7,2906.03,2,2,2,False
2019-01-05,39081,CN,25,233.11,465.64,694.49,4,4,4,True
2019-01-05,5480,EN,89,582.91,2331.84,3491.74,3,3,3,False
2019-01-05,861,US,10,333.6,667.33,1329.14,3,3,3,False
2019-01-05,77068,CN,19,501.42,999.06,2009.84,3,3,3,False
2019-01-05,56925,EN,55,347.42,696.85,1384.42,3,,3,False
2019-01-05,11,EN,44,517.25,1034.18,1547.75,1,1,1,False
